20250731T,6202.5,6488,6172,6371.5,2057574
20250730T,5590,6284,5477,6172,3889665
20250729T,5584.5,5795,5530,5638,704342
20250728T,5487,5567,5405,5542,324509
20250727T,5694,5745,5483.5,5517,320463
20250724T,5664,5775,5656,5693.5,233276
20250723T,5733,5814.5,5645,5660.5,237090
20250722T,5802,5819.5,5723.5,5747.5,212076
20250721T,5900.5,5923.5,5771,5783,176822
20250720T,5853,5911,5751,5897,203408
20250717T,5970,5984.5,5842,5853,176277
20250716T,5999,6010,5931,5953.5,128335
20250715T,6025,6090,5923,5977.5,375194
20250714T,6050,6089,5960,5975,199416
20250713T,5971.5,6063.5,5951.5,6023,231069
20250710T,6169.5,6193,5977,5998,277516
20250709T,6150,6274,6132,6164.5,473860
20250708T,6070,6238,6070,6123,701423
20250707T,6174,6205.5,5990,6007,309392
20250706T,6145,6239,6119.5,6175,206661
20250703T,6175,6260,6125.5,6156.5,219176
20250702T,6300,6398,6150,6175.5,483680
20250701T,6169.5,6308.5,6065,6286.5,842478
20250630T,6129.5,6175,6031,6140.5,371192
20250629T,5901,6244.5,5896.5,6095,1566145
20250626T,5780,5945,5780,5867.5,495261
20250625T,5850,5886,5722.5,5769,451878
20250624T,5825,5879,5744.5,5850,345679
20250623T,5850,5929,5780,5798,514092
20250622T,5799,5838.5,5735,5782.5,349083
20250619T,5825.5,5887.5,5666,5864.5,1460483
20250618T,5737,5756,5580,5612,317124
20250617T,5655,5799,5634.5,5720,754206
20250616T,5615,5710,5513,5644,766550
20250615T,5450,5611,5361,5597.5,609364
20250612T,5364.5,5525,5317.5,5475.5,401169
20250611T,5555,5618,5460,5476.5,245119
20250610T,5640,5675,5530.5,5576,446287
20250609T,5690,5699,5561.5,5583.5,315763
20250608T,5760,5799,5640,5654,306258
20250605T,5675,5779,5604,5731.5,408842
20250604T,5724.5,5892.5,5650.5,5658.5,455000
20250603T,5809,5845.5,5550,5737.5,1225654
20250602T,5865,5895,5754,5788,197961
20250601T,5983,5990.5,5805,5821,245641
20250529T,6005,6048,5965,5980,198076
20250528T,6031,6064.5,5993,6027,171184
20250527T,6024.5,6069,5967,5992,205300
20250526T,5985,6054,5944,5978,186030
20250525T,6070,6105,5955,5975,224666
20250522T,5961.5,6061,5922.5,6024.5,294128
20250521T,5950,6104.5,5905,5932.5,517206
20250520T,6003,6027,5808,5951,549746
20250519T,6105,6170,5950,6003.5,478319
20250518T,6300,6305.5,6025.5,6104.5,801517
20250515T,6577.5,6834.5,6200,6262.5,2048906
20250514T,6380,6466,6231,6297.5,411654
20250513T,6330,6380,6196,6322.5,578071
20250512T,5999.5,6320,5940,6285.5,921386
20250511T,6000,6022,5870,5979.5,424835
20250508T,5550.5,5678,5500.5,5665.5,373240
20250507T,5899,5976,5621.5,5664,392669
20250506T,5498,5867,5490,5842,599704
20250505T,5788,5825,5600,5623,235054
20250504T,5850.5,5850.5,5765,5795,184332
20250501T,5767.5,5826,5625,5755.5,380897
20250430T,5889,5962.4,5701.1,5747.2,None
20250429T,5889,5962.4,5701.1,5747.2,524506
20250428T,6000,6004.6,5845,5914.7,509064
20250427T,5574.8,5943.4,5563.2,5884.6,675699
20250424T,5845,5870,5472.5,5573.9,856724
20250423T,5960,5979.7,5800,5835.4,395047
20250422T,6070.2,6187.4,5829.3,5919.6,654157
20250421T,5913.9,6159.7,5908.3,5979.3,857779
20250420T,5697,5917.8,5671.1,5879,664909
20250417T,5670.1,5741.9,5535,5643,None
20250416T,5670.1,5741.9,5535,5643,648154
20250415T,5499,5844,5479.2,5671.2,1458088
20250414T,5202,5581,5202,5520.9,1440058
20250413T,5046,5152.85,4926.6,5091.15,None
20250410T,5046,5152.85,4926.6,5091.15,987632
20250409T,4785.55,4870,4680.6,4833.55,None
20250408T,4785.55,4870,4680.6,4833.55,445514
20250407T,4660.4,4872.85,4586.2,4836.2,871475
20250406T,3900,4560,3900,4439.3,696682
